Date,Series,WIPRO_Close_Price,TCS_Close_Price,HCLTECH_Close_Price
9/15/2017,EQ,285.75,2506.05,887.05
9/22/2017,EQ,294.45,2503.6,884.45
9/29/2017,EQ,280.25,2435.95,874.8
10/6/2017,EQ,286.6,2446.65,907.9
10/13/2017,EQ,291.9,2558.6,926.5
10/19/2017,EQ,292.05,2583.9,922.3
10/27/2017,EQ,296.95,2584.3,854.95
11/3/2017,EQ,294.55,2620.1,847.15
11/10/2017,EQ,302.65,2708.75,867.05
11/17/2017,EQ,295.15,2707.3,840
11/24/2017,EQ,292.7,2688.05,858.4
12/1/2017,EQ,289.4,2629.95,830
12/8/2017,EQ,282.9,2601.5,870.45
12/15/2017,EQ,289.7,2545.6,891.8
12/22/2017,EQ,301.6,2646.75,886.9
12/29/2017,EQ,314.25,2701.2,890.5
1/5/2018,EQ,309.55,2689.2,900.05
1/12/2018,EQ,318.8,2776.35,925.9
1/19/2018,EQ,328.95,2959.3,958.3
1/25/2018,EQ,311.95,3121.05,1009.55
2/2/2018,EQ,300.6,3153.65,990.9
2/9/2018,EQ,285,2971.7,964
2/16/2018,EQ,291,2933.05,937.1
2/23/2018,EQ,295,3075.8,955.6
3/1/2018,EQ,292.5,3037.7,942.8
3/9/2018,EQ,285.05,3034.1,943
3/16/2018,EQ,295.75,2825.7,967.6
3/23/2018,EQ,284.65,2818.15,957.4
3/28/2018,EQ,281.15,2849.15,968.6
4/6/2018,EQ,283.95,2950.3,952.65
4/13/2018,EQ,294.15,3153.3,991.25
4/20/2018,EQ,298.05,3402.45,1062.35
4/27/2018,EQ,276.15,3451.95,1041.65
5/4/2018,EQ,269.9,3480.75,929.85
5/11/2018,EQ,272.65,3456.95,932.85
5/18/2018,EQ,268.9,3502.05,890.7
5/25/2018,EQ,264.6,3585.8,916
6/1/2018,EQ,260.6,1732.45,904.85
6/8/2018,EQ,264,1747.1,928.7
6/15/2018,EQ,266.9,1840.05,948.3
6/22/2018,EQ,258.25,1809.8,904.8
6/29/2018,EQ,261.5,1847.75,926.25
7/6/2018,EQ,262.8,1912.95,943.9
7/13/2018,EQ,280.85,1981.1,983.35
7/20/2018,EQ,283,1996.6,999.2
7/27/2018,EQ,274.5,1943.75,963.45
8/3/2018,EQ,278,1979.45,963.65
8/10/2018,EQ,278.85,1993.1,966
8/17/2018,EQ,280.05,2012.75,1003.05
8/24/2018,EQ,292.15,2043,1023.35
8/31/2018,EQ,301.25,2078.4,1046.45
9/7/2018,EQ,324.7,2079.85,1073.95
9/14/2018,EQ,330.2,2065.4,1070.7
9/21/2018,EQ,335.2,2103.15,1084.9
9/28/2018,EQ,324,2183.7,1087.8
10/5/2018,EQ,325.3,2102.65,1084
10/12/2018,EQ,316.3,1918.3,985.15
10/19/2018,EQ,323.15,1913.2,958.5
10/26/2018,EQ,320.6,1799.1,966.6
11/2/2018,EQ,318.4,1913.45,1004.6
11/9/2018,EQ,324.85,1909.2,1027.9
11/16/2018,EQ,326.2,1886.6,1022.2
11/22/2018,EQ,307.1,1812.55,979.05
11/30/2018,EQ,324.65,1968.25,1015
12/7/2018,EQ,333.3,1995.2,961.95
12/14/2018,EQ,333.1,1989.75,961.2
12/21/2018,EQ,322.1,1895.8,954.45
12/28/2018,EQ,330.05,1896.05,958.35
1/4/2019,EQ,324.45,1876.85,932.35
1/11/2019,EQ,328.7,1842.55,940.05
1/18/2019,EQ,346.15,1900.65,966.3
1/25/2019,EQ,353.45,1920.8,969.4
2/1/2019,EQ,371.55,2029.95,1043.85
2/8/2019,EQ,372.7,2061.4,1068.45
2/15/2019,EQ,376.1,2029.7,1057.25
2/22/2019,EQ,378.75,1925.65,1066.15
3/1/2019,EQ,375.7,1995.4,1052.6
3/8/2019,EQ,257.7,2022.7,1009.05
3/15/2019,EQ,263.45,2039.95,1029.3
3/22/2019,EQ,260.55,2005.65,1024.85
3/29/2019,EQ,254.8,2001.65,1087.45
4/5/2019,EQ,262.1,2048.3,1092.8
4/12/2019,EQ,283.4,2014.5,1083.45
4/18/2019,EQ,284.8,2150.05,1102.65
4/26/2019,EQ,294.8,2238.55,1139.75
5/3/2019,EQ,290.9,2132,1143.05
5/10/2019,EQ,290.35,2135.8,1086.65
5/17/2019,EQ,286.4,2095.45,1062.7
5/24/2019,EQ,282.9,2048,1065.95
5/31/2019,EQ,286.4,2196.55,1092.55
6/7/2019,EQ,295.05,2181.75,1079.6
6/14/2019,EQ,298.8,2254.5,1087
6/21/2019,EQ,285.85,2249.85,1076.25
6/28/2019,EQ,280.5,2227.2,1064.65
7/5/2019,EQ,271.85,2163.1,1016.4
7/12/2019,EQ,258.95,2107.6,1023.9
7/19/2019,EQ,264.7,2076.95,1015.6
7/26/2019,EQ,263.6,2109.05,1001.45
8/2/2019,EQ,263.65,2205.3,1010.5
8/9/2019,EQ,263.5,2246.25,1086.3
8/16/2019,EQ,249.2,2165.1,1062.75
8/23/2019,EQ,251.4,2247.7,1087
8/30/2019,EQ,254.4,2259.6,1100.35
9/6/2019,EQ,252,2197.5,1100.4
9/13/2019,EQ,245.35,2141.95,1068.5
9/20/2019,EQ,245.95,2065.45,1049.1
9/27/2019,EQ,236.6,2056.15,1041.05
10/4/2019,EQ,237.7,2079.35,1079.1
10/11/2019,EQ,239.45,1986.85,1079.5
